Student ID,Name,Sex,High School,Nationality,Q1 - Suite Gender Preference,"Q2 - On a typical weekday, what time do you expect activity in your suite to quieten down?","Q3 - On a typical weekend, what time do you expect activity in your suite to quieten down?",Q4 - Which of the following groups of adjectives best describe how you envision your suite’s environment?,Q5 - Please select which option describes you best when it comes to cleanliness in general.,Q6 - Alcohol Preference,Q7 - Smoking Preference
A1327833O,Birdie Capner,F,Jinchang School,Pakistan,Single Gender,10pm to 11pm,11pm to 12am,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is not as important to me: I can leave dishes unwashed / food wrappers undiscarded for a day or more,I prefer my suite to be alcohol-free (selecting this option implies that you do not drink alcohol in your suite),I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A2946931N,Stephani Nicholson,F,Los Pinos High School,Pakistan,Single Gender,Before 10pm,After 12am,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A2605907U,Adelle Corroyer,M,Condado Polytechnic,Pakistan,Single Gender,Before 10pm,11pm to 12am,"Private, Quiet, Restful, Peaceful",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A2936707N,Darlleen Goldstein,F,Shibukawa High School,Pakistan,No Preference,11pm to 12am,10pm to 11pm,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A2937046T,Kristel Locker,M,Suez High School,Philippines,Gender Inclusive,After 12am,After 12am,"Social, Unreserved, Flexible, Casual",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A8847040Y,Malinde Casham,F,George Town High School,Philippines,Gender Inclusive,11pm to 12am,11pm to 12am,"Energetic, Loud, Lively, Outgoing",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A4600383U,Jeffy Maciaszczyk,F,Bokat School,Philippines,Single Gender,11pm to 12am,After 12am,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A7376725I,Brandais Kent,M,Gravelbourg Junior College,Philippines,Single Gender,10pm to 11pm,After 12am,"Energetic, Loud, Lively, Outgoing",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I am okay with suitemates who may smoke
A4402634H,Teddi Chimes,F,Napoli Polytechnic,Philippines,Single Gender,10pm to 11pm,After 12am,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I prefer my suite to be alcohol-free (selecting this option implies that you do not drink alcohol in your suite),I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A0977670E,Kayle Scholer,F,Ambon Polytechnic,Philippines,No Preference,10pm to 11pm,11pm to 12am,"Energetic, Loud, Lively, Outgoing",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A1209040V,Martha Byass,F,Toguchin School,Philippines,No Preference,10pm to 11pm,10pm to 11pm,"Private, Quiet, Restful, Peaceful",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I am okay with suitemates who may smoke
A9859908B,Gilbert Karchewski,M,Villa Francisca School,Poland,Single Gender,11pm to 12am,10pm to 11pm,"Energetic, Loud, Lively, Outgoing",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A4387803E,Eleanora Huntingford,F,Sumoto Junior College,Romania,Gender Inclusive,Before 10pm,10pm to 11pm,"Social, Unreserved, Flexible, Casual",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I am okay with suitemates who may smoke
A6925001D,Marie-ann Derye-Barrett,M,Steinfort Polytechnic,Singapore,Gender Inclusive,10pm to 11pm,11pm to 12am,"Adaptable, Indifferent, Calm, Harmonious","Cleanliness is somewhat important to me: I can leave dishes unwashed / food wrappers undiscarded for hours, but I will come back to it",I am okay with alcohol in my suite,I am okay with suitemates who may smoke
A8609776U,Krystal Yankeev,M,Tanggeung Kolot School,Singapore,Gender Inclusive,10pm to 11pm,11pm to 12am,"Social, Unreserved, Flexible, Casual",Cleanliness is not as important to me: I can leave dishes unwashed / food wrappers undiscarded for a day or more,I am okay with alcohol in my suite,I am okay with suitemates who may smoke
A6899194Z,Blondell Ceschi,F,Panan Polytechnic,Singapore,Gender Inclusive,10pm to 11pm,11pm to 12am,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I am okay with suitemates who may smoke
A4862052O,Poppy Broady,M,Shuitian High School,Singapore,No Preference,10pm to 11pm,Before 10pm,"Social, Unreserved, Flexible, Casual",Cleanliness is not as important to me: I can leave dishes unwashed / food wrappers undiscarded for a day or more,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A7990022U,Noreen O'Devey,M,Kupiskis Junior College,Singapore,No Preference,10pm to 11pm,Before 10pm,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A5972592Z,Charlotta Galier,F,Tilik High School,Singapore,No Preference,Before 10pm,11pm to 12am,"Private, Quiet, Restful, Peaceful",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A9711754G,Sasha Schnieder,F,Nueve de Julio School,Singapore,No Preference,11pm to 12am,10pm to 11pm,"Social, Unreserved, Flexible, Casual",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I am okay with suitemates who may smoke
A3042942K,Suzanne Flowerdew,F,Bayeux School,Singapore,No Preference,10pm to 11pm,11pm to 12am,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A1778340Z,Alvis Janssens,M,Nanhe High School,Singapore,No Preference,10pm to 11pm,11pm to 12am,"Adaptable, Indifferent, Calm, Harmonious","Cleanliness is somewhat important to me: I can leave dishes unwashed / food wrappers undiscarded for hours, but I will come back to it",I prefer my suite to be alcohol-free (selecting this option implies that you do not drink alcohol in your suite),I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A0564465N,Rinaldo Van der Beken,M,Steinfort Polytechnic,Singapore,No Preference,10pm to 11pm,10pm to 11pm,"Social, Unreserved, Flexible, Casual",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A3141659H,Abbey Toal,M,Tilik High School,Singapore,No Preference,10pm to 11pm,10pm to 11pm,"Energetic, Loud, Lively, Outgoing",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A4205508R,Ingeberg De Witt,F,Tilik High School,Singapore,No Preference,11pm to 12am,10pm to 11pm,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A4688692W,Halette Dollard,M,Asheville Secondary School,Singapore,Single Gender,11pm to 12am,11pm to 12am,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A2148440E,Francklin Green,F,Kairouan School,Singapore,Single Gender,10pm to 11pm,11pm to 12am,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I prefer my suite to be alcohol-free (selecting this option implies that you do not drink alcohol in your suite),I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A8306744S,Phyllys Crocker,F,Lexington Polytechnic,Singapore,Single Gender,10pm to 11pm,After 12am,"Private, Quiet, Restful, Peaceful",Cleanliness is not as important to me: I can leave dishes unwashed / food wrappers undiscarded for a day or more,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A4254908A,Andres Wyles,F,Thabazimbi Secondary School,Singapore,Single Gender,10pm to 11pm,11pm to 12am,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A8893745E,Denny Kurth,M,Chulakivka School,Singapore,Single Gender,10pm to 11pm,11pm to 12am,"Private, Quiet, Restful, Peaceful",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A7555540L,Shirline Sevitt,M,Bayeux School,Singapore,Single Gender,11pm to 12am,After 12am,"Social, Unreserved, Flexible, Casual",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I am okay with suitemates who may smoke
A3137420X,Hans Bullick,F,Shuanggang High School,Singapore,Single Gender,10pm to 11pm,Before 10pm,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A2404087H,Yettie Bills,M,Yanjiang School,Singapore,Single Gender,10pm to 11pm,11pm to 12am,"Social, Unreserved, Flexible, Casual",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I am okay with suitemates who may smoke
A7981362U,Nady Spilsburie,F,Amos Junior College,Singapore,Gender Inclusive,10pm to 11pm,11pm to 12am,"Social, Unreserved, Flexible, Casual",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A6787093J,Cher Reeves,M,Amos Junior College,Singapore,Gender Inclusive,10pm to 11pm,After 12am,"Social, Unreserved, Flexible, Casual",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I prefer my suite to be alcohol-free (selecting this option implies that you do not drink alcohol in your suite),I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A7993487A,Batholomew Nouch,F,Amos Junior College,Singapore,No Preference,10pm to 11pm,After 12am,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I prefer my suite to be alcohol-free (selecting this option implies that you do not drink alcohol in your suite),I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A4721965H,Selestina Sambidge,F,Amos Junior College,Singapore,No Preference,11pm to 12am,11pm to 12am,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I am okay with suitemates who may smoke
A7549182V,Nicol Dignam,M,Amos Junior College,Singapore,No Preference,10pm to 11pm,10pm to 11pm,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A0308718M,Kelsey McCaffery,F,Amos Junior College,Singapore,No Preference,11pm to 12am,11pm to 12am,"Private, Quiet, Restful, Peaceful",Cleanliness is not as important to me: I can leave dishes unwashed / food wrappers undiscarded for a day or more,I prefer my suite to be alcohol-free (selecting this option implies that you do not drink alcohol in your suite),I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A5751653O,Rollins Sackes,F,Amos Junior College,Singapore,No Preference,10pm to 11pm,11pm to 12am,"Private, Quiet, Restful, Peaceful",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A6828036Q,Fae Chancelier,F,Amos Junior College,Singapore,Single Gender,10pm to 11pm,11pm to 12am,"Social, Unreserved, Flexible, Casual",Cleanliness is not as important to me: I can leave dishes unwashed / food wrappers undiscarded for a day or more,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A3990790I,Erda Sexten,F,Amos Junior College,Singapore,Single Gender,10pm to 11pm,10pm to 11pm,"Energetic, Loud, Lively, Outgoing",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I prefer my suite to be alcohol-free (selecting this option implies that you do not drink alcohol in your suite),I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A2529730V,Rodrique Aldam,M,Amos Junior College,Singapore,Single Gender,After 12am,After 12am,"Social, Unreserved, Flexible, Casual",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I am okay with suitemates who may smoke
A3021704V,Britta Guyon,M,Amos Junior College,Singapore,Single Gender,10pm to 11pm,10pm to 11pm,"Energetic, Loud, Lively, Outgoing",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I am okay with suitemates who may smoke
A9671095X,Tiebout Greenier,F,Amos Junior College,Singapore,Single Gender,11pm to 12am,11pm to 12am,"Adaptable, Indifferent, Calm, Harmonious","Cleanliness is somewhat important to me: I can leave dishes unwashed / food wrappers undiscarded for hours, but I will come back to it",I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A7825399Z,Beverie Hasselby,F,Amos Junior College,Singapore,Single Gender,10pm to 11pm,After 12am,"Adaptable, Indifferent, Calm, Harmonious","Cleanliness is somewhat important to me: I can leave dishes unwashed / food wrappers undiscarded for hours, but I will come back to it",I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A4633218H,Jacquetta McGriele,F,Amos Junior College,Singapore,Single Gender,After 12am,After 12am,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A8147427D,Stefano Cromett,M,Amos Junior College,Singapore,Single Gender,10pm to 11pm,11pm to 12am,"Social, Unreserved, Flexible, Casual",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A6327876F,Kelsey Malecky,F,Amos Junior College,Singapore,Gender Inclusive,10pm to 11pm,After 12am,"Private, Quiet, Restful, Peaceful",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I prefer my suite to be alcohol-free (selecting this option implies that you do not drink alcohol in your suite),I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A7632549F,Jacques Heams,M,Amos Junior College,Singapore,Gender Inclusive,10pm to 11pm,After 12am,"Social, Unreserved, Flexible, Casual",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I am okay with suitemates who may smoke
A6181082K,Daniella Pittman,M,Amos Junior College,Singapore,Gender Inclusive,10pm to 11pm,Before 10pm,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I prefer my suite to be alcohol-free (selecting this option implies that you do not drink alcohol in your suite),I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A0755224L,Worthington Newcombe,F,Jiangshan School,Singapore,No Preference,10pm to 11pm,11pm to 12am,"Social, Unreserved, Flexible, Casual",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A1485143C,Norri Stockey,F,Jiangshan School,Singapore,No Preference,After 12am,After 12am,"Private, Quiet, Restful, Peaceful",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A4958683W,Othello Verrier,F,Jiangshan School,Singapore,No Preference,10pm to 11pm,11pm to 12am,"Energetic, Loud, Lively, Outgoing",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I am okay with suitemates who may smoke
A4241413P,Pet Abramov,M,Jiangshan School,Singapore,No Preference,11pm to 12am,11pm to 12am,"Private, Quiet, Restful, Peaceful",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A8260552Q,Celesta Worwood,F,Jiangshan School,Singapore,No Preference,11pm to 12am,After 12am,"Energetic, Loud, Lively, Outgoing",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A0566170M,Zoe Shutle,F,Jiangshan School,Singapore,No Preference,10pm to 11pm,11pm to 12am,"Social, Unreserved, Flexible, Casual",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A7101017T,Norbert Manilo,F,Jiangshan School,Singapore,Single Gender,10pm to 11pm,After 12am,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is not as important to me: I can leave dishes unwashed / food wrappers undiscarded for a day or more,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A6987695M,Lia Wilkisson,F,Jiangshan School,Singapore,Single Gender,11pm to 12am,10pm to 11pm,"Social, Unreserved, Flexible, Casual",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A5976055P,Rip Girkins,M,Jiangshan School,Singapore,Single Gender,10pm to 11pm,After 12am,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A6233764Q,Zolly Dursley,M,Jiangshan School,Singapore,Single Gender,10pm to 11pm,11pm to 12am,"Adaptable, Indifferent, Calm, Harmonious","Cleanliness is somewhat important to me: I can leave dishes unwashed / food wrappers undiscarded for hours, but I will come back to it",I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A7836574B,Ophelie Elsegood,M,Jiangshan School,Singapore,Single Gender,10pm to 11pm,Before 10pm,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is not as important to me: I can leave dishes unwashed / food wrappers undiscarded for a day or more,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A1668395R,Bartie Vanderplas,M,Jiangshan School,Singapore,Single Gender,11pm to 12am,10pm to 11pm,"Private, Quiet, Restful, Peaceful",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I am okay with suitemates who may smoke
A6524522P,Tera Illidge,F,Jiangshan School,Singapore,Single Gender,10pm to 11pm,11pm to 12am,"Social, Unreserved, Flexible, Casual",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A4121182U,Tadeas Croydon,F,Jiangshan School,Singapore,Single Gender,10pm to 11pm,After 12am,"Social, Unreserved, Flexible, Casual",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A1377100U,Elyssa Wheeler,F,Jiangshan School,Singapore,Single Gender,10pm to 11pm,Before 10pm,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A2893307G,Natassia Sokill,F,Jiangshan School,Singapore,Single Gender,10pm to 11pm,After 12am,"Social, Unreserved, Flexible, Casual","Cleanliness is somewhat important to me: I can leave dishes unwashed / food wrappers undiscarded for hours, but I will come back to it",I am okay with alcohol in my suite,I am okay with suitemates who may smoke
A5911299F,Ursola Deveril,M,Jiangshan School,Singapore,Single Gender,10pm to 11pm,After 12am,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I prefer my suite to be alcohol-free (selecting this option implies that you do not drink alcohol in your suite),I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A3619062S,Osgood Tucknutt,M,Jiangshan School,Singapore,Single Gender,10pm to 11pm,After 12am,"Energetic, Loud, Lively, Outgoing",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I prefer my suite to be alcohol-free (selecting this option implies that you do not drink alcohol in your suite),I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A8743018S,Clemmy Nesbeth,M,Prachatice School,Singapore,Single Gender,10pm to 11pm,10pm to 11pm,"Social, Unreserved, Flexible, Casual",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A7547451Q,Ricoriki Wardingley,M,Prachatice School,Singapore,Single Gender,After 12am,10pm to 11pm,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A2949621T,Mortie Aplin,M,Prachatice School,Singapore,Single Gender,11pm to 12am,After 12am,"Energetic, Loud, Lively, Outgoing",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A3683988H,Linnet Kubera,F,Prachatice School,Singapore,Single Gender,10pm to 11pm,10pm to 11pm,"Social, Unreserved, Flexible, Casual",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I prefer my suite to be alcohol-free (selecting this option implies that you do not drink alcohol in your suite),I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A0760713C,Elspeth Karpov,F,Prachatice School,Singapore,Single Gender,10pm to 11pm,11pm to 12am,"Energetic, Loud, Lively, Outgoing",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I prefer my suite to be alcohol-free (selecting this option implies that you do not drink alcohol in your suite),I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A9655468F,Davina Treuge,M,Prachatice School,Singapore,Single Gender,10pm to 11pm,After 12am,"Energetic, Loud, Lively, Outgoing",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I prefer my suite to be alcohol-free (selecting this option implies that you do not drink alcohol in your suite),I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A7294912W,Parke Cullon,F,Prachatice School,Singapore,Single Gender,10pm to 11pm,10pm to 11pm,"Private, Quiet, Restful, Peaceful",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I prefer my suite to be alcohol-free (selecting this option implies that you do not drink alcohol in your suite),I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A8823297E,Saree Mundle,F,Prachatice School,Singapore,Single Gender,10pm to 11pm,After 12am,"Social, Unreserved, Flexible, Casual","Cleanliness is somewhat important to me: I can leave dishes unwashed / food wrappers undiscarded for hours, but I will come back to it",I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A7482456Q,Cheslie Wiersma,F,Prachatice School,Singapore,Single Gender,10pm to 11pm,11pm to 12am,"Social, Unreserved, Flexible, Casual",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I prefer my suite to be alcohol-free (selecting this option implies that you do not drink alcohol in your suite),I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A5554005D,Smith Grinter,F,Prachatice School,Singapore,Single Gender,11pm to 12am,After 12am,"Private, Quiet, Restful, Peaceful",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A4826156G,Mickie Hindenberger,M,Prachatice School,Singapore,Single Gender,After 12am,After 12am,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A3555609W,Parrnell Mortel,F,Prachatice School,Singapore,Single Gender,10pm to 11pm,Before 10pm,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is extremely important to me: I cannot stand it when dishes are left unwashed / I need to dispose of food wrappers immediately,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
A8086936I,Almeda Halleday,M,Prachatice School,Singapore,Single Gender,Before 10pm,After 12am,"Adaptable, Indifferent, Calm, Harmonious",Cleanliness is important to me: I can leave dishes unwashed / food wrappers undiscarded for a while if I have something else to do,I am okay with alcohol in my suite,I prefer not to have suitemates who smoke (selecting this option implies that you do not smoke)
